0,-7.864716067022569e-08,-6.217631892665886e-08,                   0,   766.4832000000001,  -969.5287301683019,    6780165.91335072,   766.4832000000001,                   0,   6780165.913350717
                 0.5,-1.607993513751391e-06,-3.477567352809712e-06,                   0,   4598.898857156958,  -875.6253009491854,   6780164.180365256,   4598.898857156948,                   0,   6780164.180365203
                   1,-4.811131033343387e-06,-1.771408634554695e-05,                   0,   8431.313044986597,  -686.7342395756485,    6780160.28114866,   8431.313044986544,                   0,   6780160.281148513
                 1.5,-9.241179216308215e-06,-5.033969120563751e-05,                   0,    12263.7245390497,   -449.099687363777,   6780154.215702361,   12263.72453904957,                   0,   6780154.215702101
                   2,-1.4359694836934e-05,-0.0001086697684361403,                   0,   16096.13211490768,   -220.899123619147,   6780145.984028508,   16096.13211490743,                   0,    6780145.98402811
                 2.5,-1.966099213187516e-05,-0.0001996666571797219,                   0,   19928.53454812305,   -58.0004069978288,   6780135.586130092,   19928.53454812257,                   0,   6780135.586129379
                   3,-2.4785678810389e-05,-0.0003298440223206074,                   0,   23760.93061426616, -0.2842561365951748,   6780123.022020134,    23760.9306142588,                   0,   6780123.022009438
                 3.5,-2.95957531498041e-05,-0.0005051773900577633,                   0,   27593.31909166617,  -61.88068753779147,   6780108.295719208,   27593.31908888177,                   0,   6780108.291672509
                   4,-3.419305385428975e-05,-0.0007310220747128763,                   0,    31425.6987578069,  -227.7097176202854,   6780091.410016789,   31425.69874755931,                   0,   6780091.395123506
                 4.5,-3.887675616466232e-05,-0.001012039624081072,                   0,   35258.06838643638,  -457.1732310166513,   6780072.362269863,   35258.06836586181,                   0,   6780072.332368035
                   5,-4.405056108577752e-05,-0.001352133793623235,                   0,   39090.42675060005,  -694.0941748625966,   6780051.148810566,   39090.42671936267,                   0,   6780051.103412393
                 5.5,-5.010256824489619e-05,-0.001754396928883315,                   0,   42922.77262326449,  -880.4697748168433,   6780027.765852182,   42922.77258363863,                   0,    6780027.70826357
                   6,-5.72875343900286e-05,-0.002221067492558011,                   0,   46755.10477795688,  -970.6717225864298,    6780002.21041801,   46755.10473427019,                   0,    6780002.14692925
                 6.5,-6.564065533976163e-05,-0.002753499319569155,                   0,   50587.42198926803,  -942.6168577015128,   6779974.481072011,   50587.42194684198,                   0,   6779974.419417807
                   7,-7.494430707884887e-05,-0.003352143022398937,                   0,   54419.72303309604,  -803.1735471822672,   6779944.578272434,   54419.72299694321,                   0,   6779944.525738304
                 7.5,-8.475622706038109e-05,-0.004016539802055447,                   0,   58252.00668657117,  -586.4801780457132,   6779912.504261866,   58252.00666016799,                   0,   6779912.465900505
                   8,-9.449258108007726e-05,-0.00474532774963803,                   0,   62084.27172768043,  -345.5874278184808,   6779878.262520655,   62084.27171211574,                   0,   6779878.239914858
                 8.5,-0.0001035459253747723,-0.005536260551920523,                   0,   65916.51693468483,  -139.4704449406132,   6779841.856917625,   65916.51692839162,                   0,   6779841.847792503
                   9,-0.0001114095272625278,-0.006386238344029622,                   0,   69748.74108548224,  -18.59060547979222,   6779803.290767807,   69748.74108460688,                   0,    6779803.28954528
                 9.5,-0.0001177779430801135,-0.007291350285496035,                   0,   73580.94297785251,  -12.54160338690797,   6779762.569556748,   73580.94295637927,                   0,   6779762.565185712
                  10,-0.0001225995524863269,-0.008246928274881406,                   0,   77413.12153003056,  -122.8043448024707,   6779719.717601242,   77413.12131933338,                   0,   6779719.674727019
                10.5,-0.0001260684934346401,-0.009247611065261233,                   0,   81245.27550225452,  -322.3844023993869,   6779674.730741675,   81245.27494910116,                   0,   6779674.618183112
